workspace,slug,name,language,project,is_active,updated_on,created_on,has_pipeline,open_prs,merged_30d
syscolabs,remoteosupgrade,RemoteOsUpgrade,zsh,SWAT,False,2023-11-29T09:26:00.132159+00:00,2019-03-19T10:59:58.032689+00:00,,,
syscolabs,src-day-part-api,src-day-part-api,javascript,Menu Core,True,2026-02-10T23:37:45.486684+00:00,2019-03-21T12:53:49.395722+00:00,,,
syscolabs,minuteman-client,minuteman-client,unknown,SWAT,False,2019-03-22T10:25:11.554785+00:00,2019-03-22T10:17:15.193909+00:00,,,
syscolabs,massist,massist,nodejs,SWAT,False,2019-03-22T10:36:06.970034+00:00,2019-03-22T10:36:05.970259+00:00,,,
syscolabs,perf-envs,perf-envs,unknown,Cloud Services,False,2019-06-05T09:13:33.989743+00:00,2019-03-26T06:07:44.431335+00:00,,,
syscolabs,ua-reports-payments-bff,ua-reports-payments-bff,unknown,Environment Configs,False,2024-09-23T07:02:11.567821+00:00,2019-03-27T06:27:27.561976+00:00,,,
syscolabs,gm,gm,unknown,Guest Manager,True,2026-04-02T20:30:52.033019+00:00,2019-03-28T10:35:22.839788+00:00,,,
syscolabs,pompe,pompe,unknown,Environment Configs Archive,True,2026-02-02T05:52:06.319599+00:00,2019-04-03T11:44:57.019713+00:00,,,
syscolabs,pos_fe_performance,pos_fe_performance,unknown,QA,False,2019-04-26T11:04:03.680394+00:00,2019-04-04T07:46:50.089383+00:00,,,
syscolabs,data-platform-core,data-platform-core,unknown,Environment Configs Archive,False,2025-10-16T10:06:49.650160+00:00,2019-04-05T07:18:49.383399+00:00,,,
syscolabs,old-cake-payment-gateway,old-cake-payment-gateway,unknown,Payment Gateway,False,2019-04-09T09:42:16.167868+00:00,2019-04-08T13:26:12.927926+00:00,,,
