profile,account_id,month,service,cost
mm-madmobile-mgmt,302042158767,2026-02-01,AWS Data Pipeline,0.91
mm-madmobile-mgmt,302042158767,2026-02-01,AWS Directory Service,91.24
mm-madmobile-mgmt,302042158767,2026-02-01,AWS Elemental MediaConvert,0.03
mm-madmobile-mgmt,302042158767,2026-02-01,AWS Global Accelerator,60.82
mm-madmobile-mgmt,302042158767,2026-02-01,AWS Glue,1.92
mm-madmobile-mgmt,302042158767,2026-02-01,AWS HealthImaging,0.03
mm-madmobile-mgmt,302042158767,2026-02-01,AWS Key Management Service,205.47
mm-madmobile-mgmt,302042158767,2026-02-01,AWS Lambda,328.64
mm-madmobile-mgmt,302042158767,2026-02-01,AWS Secrets Manager,169.97
mm-madmobile-mgmt,302042158767,2026-02-01,AWS Security Hub,122.06
mm-madmobile-mgmt,302042158767,2026-02-01,AWS Support (Enterprise),17019.89
mm-madmobile-mgmt,302042158767,2026-02-01,AWS Systems Manager,0.09
mm-madmobile-mgmt,302042158767,2026-02-01,AWS Transfer Family,364.9
mm-madmobile-mgmt,302042158767,2026-02-01,AWS WAF,774.71
mm-madmobile-mgmt,302042158767,2026-02-01,AWS X-Ray,4.18
mm-madmobile-mgmt,302042158767,2026-02-01,Amazon API Gateway,5.95
mm-madmobile-mgmt,302042158767,2026-02-01,Amazon Athena,31.99
mm-madmobile-mgmt,302042158767,2026-02-01,Amazon CloudFront,0.04
mm-madmobile-mgmt,302042158767,2026-02-01,Amazon DocumentDB (with MongoDB compatibility),339.62
mm-madmobile-mgmt,302042158767,2026-02-01,Amazon DynamoDB,52.59
mm-madmobile-mgmt,302042158767,2026-02-01,Amazon EC2 Container Registry (ECR),611.84
mm-madmobile-mgmt,302042158767,2026-02-01,Amazon ElastiCache,10111.13
mm-madmobile-mgmt,302042158767,2026-02-01,EC2 - Other,42343.33
mm-madmobile-mgmt,302042158767,2026-02-01,Amazon Elastic Compute Cloud - Compute,19499.17
mm-madmobile-mgmt,302042158767,2026-02-01,Amazon Elastic Container Service,118.18
mm-madmobile-mgmt,302042158767,2026-02-01,Amazon Elastic Container Service for Kubernetes,2318.73
mm-madmobile-mgmt,302042158767,2026-02-01,Amazon Elastic File System,0.23
mm-madmobile-mgmt,302042158767,2026-02-01,Amazon Elastic Load Balancing,9518.21
mm-madmobile-mgmt,302042158767,2026-02-01,Amazon GuardDuty,2016.39
mm-madmobile-mgmt,302042158767,2026-02-01,Amazon Kinesis,54.73
mm-madmobile-mgmt,302042158767,2026-02-01,Amazon Lightsail,99.37
mm-madmobile-mgmt,302042158767,2026-02-01,Amazon Location Service,182.19
mm-madmobile-mgmt,302042158767,2026-02-01,Amazon MQ,5919.91
mm-madmobile-mgmt,302042158767,2026-02-01,Amazon Managed Streaming for Apache Kafka,1503.46
mm-madmobile-mgmt,302042158767,2026-02-01,Amazon Neptune,0.07
mm-madmobile-mgmt,302042158767,2026-02-01,Amazon OpenSearch Service,6908.06
mm-madmobile-mgmt,302042158767,2026-02-01,Amazon QuickSight,37.13
mm-madmobile-mgmt,302042158767,2026-02-01,Amazon Redshift,3.24
mm-madmobile-mgmt,302042158767,2026-02-01,Amazon Registrar,101.0
mm-madmobile-mgmt,302042158767,2026-02-01,Amazon Relational Database Service,30492.25
mm-madmobile-mgmt,302042158767,2026-02-01,Amazon Route 53,155.7
mm-madmobile-mgmt,302042158767,2026-02-01,Amazon Simple Email Service,4.6
mm-madmobile-mgmt,302042158767,2026-02-01,Amazon Simple Notification Service,2.04
mm-madmobile-mgmt,302042158767,2026-02-01,Amazon Simple Queue Service,127.17
mm-madmobile-mgmt,302042158767,2026-02-01,Amazon Simple Storage Service,8010.49
mm-madmobile-mgmt,302042158767,2026-02-01,Amazon Virtual Private Cloud,5718.25
mm-madmobile-mgmt,302042158767,2026-02-01,AmazonCloudWatch,7653.28
mm-madmobile-mgmt,302042158767,2026-02-01,CloudWatch Events,0.03
mm-madmobile-mgmt,302042158767,2026-02-01,OCBLateFee,3682.02
mm-madmobile-mgmt,302042158767,2026-02-01,Savings Plans for AWS Compute usage,58384.74
mm-madmobile-mgmt,302042158767,2026-02-01,Snyk: Developer Security Platform,3208.31
mm-madmobile-mgmt,302042158767,2026-02-01,TrendAI™ Cloud One,1437.68
mm-madmobile-mgmt,302042158767,2026-02-01,Vanta,3333.33
mm-madmobile-mgmt,302042158767,2026-02-01,[AWS MP Private Offer] - MongoDB Atlas on AWS - Contract with Usage (V6),4259.0
mm-madmobile-mgmt,302042158767,2026-03-01,AWS Backup,0.17
mm-madmobile-mgmt,302042158767,2026-03-01,AWS Certificate Manager,1448.0
mm-madmobile-mgmt,302042158767,2026-03-01,AWS CloudTrail,141.74
mm-madmobile-mgmt,302042158767,2026-03-01,AWS CodeArtifact,14.6
mm-madmobile-mgmt,302042158767,2026-03-01,AWS Config,751.04
mm-madmobile-mgmt,302042158767,2026-03-01,AWS Cost Explorer,28.0
mm-madmobile-mgmt,302042158767,2026-03-01,AWS Data Pipeline,0.9
mm-madmobile-mgmt,302042158767,2026-03-01,AWS Directory Service,101.1
mm-madmobile-mgmt,302042158767,2026-03-01,AWS Elemental MediaConvert,0.13
mm-madmobile-mgmt,302042158767,2026-03-01,AWS End User Messaging,0.88
mm-madmobile-mgmt,302042158767,2026-03-01,AWS Global Accelerator,63.98
mm-madmobile-mgmt,302042158767,2026-03-01,AWS Glue,2.49
